Timestamp,1. what is your age group ?,2. what is your gender ?,3.what is your occupation ,4. the name of the mobile phone brand your are using right now,5. how old is your mobile,6. how often you change your mobile phones?,7. what is your preferred os ?,8. what is your average daily screen time ?,9. what is the cost of your current mobile ?,10. what feature you mainly look up to while buying a phone?,11. for what purposes do you use  your phone?,12. how satisfies you are with your current device??,13. which social media you prefer the most?,14. would you recommend your phone brand to others ?,15. are you planning to upgrade your phone next year?
10/29/2025 14:46:28,18-25,female,self-employed,samsung,more than 2 years,every 4-5 years,android,4 - 6 hours,"10,000 - 20,000","battery life, camera quality, storage","social media, calling/ chatting, work/study",neutral,snapchat,yes,yes
10/29/2025 14:49:00,above 45,male,self-employed,realme,1 - 2  years,every 2-3 years,android,more than 6 hours,"10,000 - 20,000","battery life, camera quality, display quality, price","social media, calling/ chatting, watching vedios, work/study",dissatisfied,facebook,no,yes
10/29/2025 14:49:47,18-25,male,student,samsung,more than 2 years,only when necessary,android,more than 6 hours,"10,000 - 20,000","battery life, storage, performance, display quality, price","gaming, calling/ chatting, work/study",very satisfied,whatsapp,yes,no
10/29/2025 14:50:26,above 45,male,working professional,mi,1 - 2  years,every 2-3 years,android,4 - 6 hours,"10,000 - 20,000","battery life, storage, display quality, price","social media, calling/ chatting, watching vedios, work/study",dissatisfied,facebook,no,yes
10/29/2025 14:52:26,26-35,female,home maker,vivo,less than 6 months,every 2-3 years,android,2 - 4 hours,"20,000 - 30,000","battery life, camera quality, performance, display quality, price","social media, calling/ chatting, watching vedios",satisfied,whatsapp,yes,no
10/29/2025 14:53:21,18-25,female,working professional,samsung,1 - 2  years,only when necessary,android,4 - 6 hours,"10,000 - 20,000","battery life, camera quality, storage","social media, calling/ chatting, watching vedios",very satisfied,instagram,yes,maybe
10/29/2025 14:54:35,18-25,female,student,mi,less than 6 months,only when necessary,android,4 - 6 hours,"20,000 - 30,000","camera quality, storage, price","social media, calling/ chatting, watching vedios",neutral,instagram,not sure,no
10/29/2025 14:54:41,below 18,female,student,vivo,more than 2 years,every 4-5 years,android,2 - 4 hours,"20,000 - 30,000","battery life, camera quality, storage, performance, price","social media, gaming, calling/ chatting, watching vedios, work/study",satisfied,instagram,might recommend,yes
10/29/2025 14:58:53,18-25,female,self-employed,apple,more than 2 years,only when necessary,ios,more than 6 hours,"above 40,000","battery life, camera quality, storage, performance, display quality","social media, calling/ chatting, watching vedios, work/study",very satisfied,instagram,might recommend,maybe
10/29/2025 15:07:38,18-25,male,student,mi,more than 2 years,only when necessary,android,4 - 6 hours,"10,000 - 20,000",performance,"social media, gaming, calling/ chatting, watching vedios, work/study",satisfied,instagram,not sure,yes
10/29/2025 15:14:27,18-25,male,student,samsung,6 months - 1 year,every 4-5 years,android,2 - 4 hours,"10,000 - 20,000",performance,work/study,very satisfied,instagram,yes,maybe
10/29/2025 15:15:32,18-25,male,student,apple,6 months - 1 year,every 2-3 years,android,2 - 4 hours,"20,000 - 30,000",camera quality,social media,very satisfied,instagram,yes,no
10/29/2025 15:15:52,18-25,male,working professional,mi,1 - 2  years,only when necessary,android,more than 6 hours,"10,000 - 20,000","battery life, camera quality, storage, performance, display quality, price","social media, gaming, calling/ chatting, watching vedios, work/study",very satisfied,whatsapp,might recommend,no
10/29/2025 15:17:42,below 18,male,working professional,vivo,6 months - 1 year,only when necessary,ios,2 - 4 hours,"20,000 - 30,000","battery life, storage, performance","social media, calling/ chatting, watching vedios, work/study",satisfied,youtube,might recommend,maybe
10/29/2025 15:19:59,above 45,female,home maker,vivo,less than 6 months,only when necessary,android,4 - 6 hours,"10,000 - 20,000","battery life, price","social media, watching vedios",very satisfied,youtube,might recommend,maybe
10/29/2025 15:21:35,26-35,female,self-employed,vivo,6 months - 1 year,only when necessary,android,more than 6 hours,"20,000 - 30,000","camera quality, performance, price","social media, calling/ chatting, watching vedios, work/study",very satisfied,instagram,yes,maybe
10/29/2025 15:22:07,26-35,male,self-employed,samsung,less than 6 months,only when necessary,android,4 - 6 hours,"20,000 - 30,000","battery life, storage, performance","social media, calling/ chatting, watching vedios",satisfied,youtube,may not,no
10/29/2025 15:22:35,below 18,male,student,vivo,1 - 2  years,only when necessary,android,more than 6 hours,"10,000 - 20,000","battery life, performance, display quality","social media, gaming, work/study",very satisfied,instagram,yes,yes
10/29/2025 15:23:29,18-25,female,student,samsung,6 months - 1 year,every year,android,more than 6 hours,"10,000 - 20,000","battery life, storage, performance","gaming, work/study",very satisfied,youtube,yes,yes
10/29/2025 15:24:38,26-35,male,working professional,vivo,more than 2 years,every 2-3 years,android,more than 6 hours,"20,000 - 30,000","battery life, camera quality, storage, display quality","social media, calling/ chatting, watching vedios, work/study",very satisfied,youtube,yes,yes
10/29/2025 15:24:52,18-25,female,home maker,samsung,6 months - 1 year,every 4-5 years,android,4 - 6 hours,"10,000 - 20,000","battery life, camera quality, performance, price","calling/ chatting, watching vedios",very satisfied,youtube,yes,no
10/29/2025 15:25:42,below 18,female,student,mi,6 months - 1 year,every 2-3 years,android,4 - 6 hours,"10,000 - 20,000","camera quality, performance, price",calling/ chatting,very satisfied,youtube,not sure,yes
10/29/2025 15:30:57,18-25,female,student,mi,1 - 2  years,only when necessary,android,more than 6 hours,"10,000 - 20,000","battery life, camera quality, price","social media, calling/ chatting, watching vedios",very satisfied,instagram,yes,yes
10/29/2025 15:42:03,above 45,female,home maker,samsung,6 months - 1 year,only when necessary,android,4 - 6 hours,"10,000 - 20,000","battery life, price","social media, calling/ chatting, watching vedios",very satisfied,youtube,might recommend,no
